time:2023-06-02 17:51:01, log_content:generating version:autra_train_v2.13/, !
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129145354240-1661313960010.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129235806208-1661312675628.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155824023552-1660896302810.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156827516928-1660896304228.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129570289664-1661312891210.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129296611328-1661312928227.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155651782656-1660896614328.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536128974186496-1661313666710.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155660171264-1660898532410.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155858108416-1660897365427.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129346174976-1661312624627.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129508960256-1661312910010.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156716087296-1660897877710.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156598665216-1660897681227.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156362729472-1660896496528.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129325727744-1661313338027.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156433514496-1660898502328.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156844288000-1660896348810.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129130424320-1661312660927.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129210890240-1661313621310.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156236638208-1660897737029.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129090322432-1661312712910.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155874361344-1660896362610.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156029532160-1660896303410.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155942238208-1660896616010.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155976841216-1660896457020.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155773679616-1660898189627.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156855035904-1660898576028.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129581056000-1661313619229.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129228716032-1661313432628.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156285921280-1660896301628.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155828205568-1660896301710.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155666212864-1660896246910.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155726774272-1660897877810.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129430579200-1661313610810.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155834247168-1660896165310.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129385496576-1661312613429.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155876720640-1660898321920.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156039512064-1660897993927.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156536780800-1660897798827.bin!
